PC,Variance_Mean,Variance_CI_Lower,Variance_CI_Upper,Mean_Sign_Stability
PC1,0.4798366546930029,0.38435102805095206,0.579800726173721,0.5605882352941175
PC2,0.1543657049506837,0.1065721977366339,0.21380331283259013,0.6882352941176471
PC3,0.09436400418809635,0.06475594122026708,0.12669095311887932,0.5252941176470588
PC4,0.0721646859416058,0.051479552608379074,0.09263743740158789,0.5870588235294117
