PC,Variance_Mean,Variance_CI_Lower,Variance_CI_Upper,Mean_Sign_Stability
PC1,0.770601582052112,0.5505248019856857,0.8698948762816092,0.8082352941176469
PC2,0.08559741662300142,0.036678022036591165,0.16892313099759698,0.7011764705882353
PC3,0.04595624125429157,0.02513986846748794,0.0919705644208616,0.5423529411764706
PC4,0.032876824167912204,0.01610646760308814,0.0685090883926038,0.6529411764705882
