PC,Variance_Mean,Variance_CI_Lower,Variance_CI_Upper,Mean_Sign_Stability
PC1,0.5163066259886594,0.3708565041428245,0.6389304696270625,0.5947058823529412
PC2,0.1479678791706343,0.09260351514004815,0.21854537879365704,0.5617647058823529
PC3,0.08807408996978112,0.06422792609467376,0.11899377573925485,0.5511764705882353
PC4,0.06695796369799085,0.04464926057479731,0.0899736466770759,0.6058823529411766
