PC,F_statistic,p_value,eta_squared
PC1,0.7228097287206103,0.4880363560589457,0.014988959224624322
PC2,16.160352989048686,9.102631110656546e-07,0.25385270785144265
PC3,46.44786404672737,8.527430761166446e-15,0.49440042642827225
PC4,2.9448712892898743,0.0574299039109671,0.05837801175865244
