Tier,N,Breakdown Rate,All Features PC1,Non-Int PC1,Intrinsic Dim (ML),Intrinsic Dim (PCA90),Optimal Clusters,Best Silhouette
full_reasoning,67,0.5522388059701493,0.8841312782596723,0.317903084186294,2.0877447139755096,7,2,0.2361449800580448
light_reasoning,61,0.47540983606557374,0.6206559892157177,0.7074497885027813,1.736196681454682,3,2,0.6485013919463557
no_reasoning,100,0.19,0.738787274970724,0.7975417794422994,1.4996651572721467,3,2,0.8153479291371889
